Chunk	Chunk Root	Chunk Dep	Chunk Head
the inner margin	margin	pobj	on
the qu	qu	pobj	of
the outer tail feathers	feathers	pobj	of
about e ual	ual	appos	band
width	width	pobj	in
the entire outer web	web	pobj	to
Eastern birds	birds	nsubj	have
a narrow b.ind	b.ind	dobj	have
the outer webs	webs	pobj	on
the rectrices	rectrices	pobj	of
I	I	nsubj	seen
the Texan example	example	pobj	in
The color	color	nsubj	is
the under surface	surface	pobj	of
the body	body	pobj	of
tins specimen	specimen	pobj	in
the average	average	dobj	excetding
eastern specimens	specimens	pobj	of
this respect	respect	pobj	in
connection	connection	pobj	In
the Tjxin species	species	pobj	with
Myiarchus	Myiarchus	pobj	of
a specimeii	specimeii	appos	Myiarchus
M. cinernscens	cinernscens	pobj	of
the Academv Collection	Collection	pobj	in
Laredo Colin	Colin	pobj	from
j	j	ROOT	j
beingthe most eastern record	record	pobj	as
this species	species	pobj	of
I	I	nsubj	seen
Prof. Cookes'  Bird Migration	Migration	pobj	in
the Mississippi Valley	Valley	pobj	in
it	it	nsubjpass	said
H. F. P.rters	P.rters	pobj	of
a summer resident	resident	attr	be
Bonham	Bonham	pobj	at
Dallas	Dallas	pobj	of
W. .S.	.S.	ROOT	.S.
Myiarchus mexicanus Kaup	Kaup	ROOT	Kaup
Mexican Crested Flycatcher	Flycatcher	ROOT	Flycatcher
A pair	pair	nsubj	had
these birds	birds	pobj	of
a nest	nest	dobj	had
eggs	eggs	conj	nest
Priour's house	house	pobj	near
Contopus borealis Swains	Swains	dobj	had
Olivesided Flycatcher	Flycatcher	dobj	had
Two specimens	specimens	nsubjpass	taken
about half a dozen	dozen	nsubj	seen
They	They	nsubjpass	noticed
June 8rd	8rd	pobj	as
Wood Pewee	Pewee	appos	Linn
its actions	actions	pobj	from
Corpus Christi	Christi	pobj	about
Pyrocephalus rubineus mexicanus Scl	Scl	appos	Linn
Vermilion Flycatcher	Flycatcher	appos	Linn
The eastern limit	limit	nsubj	lies
the occurrence	occurrence	pobj	for
this species	species	pobj	of
Corpus Christi	Christi	pobj	of
a country	country	pobj	in
all appearances	appearances	pobj	to
the town	town	pobj	nearer
The Texan Cardinal Pyirhiiloxia	Pyirhiiloxia	nsubj	confines
a bird	bird	appos	Pyirhiiloxia
very different habits	habits	pobj	of
itself	itself	dobj	confines
the breeding season	season	pobj	during
exactly the same limits	limits	pobj	to
it	it	nsubjpass	found
the winter	winter	pobj	during
May	May	pobj	of
Corpus Christi	Christi	pobj	about
Otocoris alpestris giraudi Ilensh	Ilensh	dobj	confines
"
Texan Horned Lark"	Lark	ROOT	Lark
the Corpus Christi flats	flats	pobj	on
The song	song	nsubj	is
this species	species	pobj	of
the ground	ground	pobj	from
you	you	pobj	before
fact	fact	pobj	in
the bird	bird	nsubj	is
Molothus	Molothus	nsubj	"
"
ater obscurus Gmel	Gmel	appos	Molothus
"
66.
Agelaius phoeniceus Linn..
Redwing Blackbird"	Blackbird	ROOT	Blackbird
the marshes	marshes	pobj	in
Nueces Bay	Bay	pobj	around
the scarcity	scarcity	pobj	to
water	water	pobj	of
the uplands	uplands	pobj	on
this bird	bird	nsubjpass	seen
"
Meadow Lark"	Lark	ROOT	Lark
I	I	nsubj	leaving
Corpus Christi	Christi	dobj	leaving
a lark	lark	nsubjpass	brought
me	me	pobj	to
the flesh	flesh	pobj	in
the eastern race	race	pobj	to
I	I	nsubj	was
Mr. Chapman	Chapman	nsubj	remarked
tiie Texas and Arizona specimens	specimens	nsubj	are
Pyrocephalus	Pyrocephalus	pobj	of
smaller bills	bills	dobj	have
point	point	pobj	In
color	color	pobj	of
considerable difference	difference	attr	is
a good series	series	pobj	in
specimens	specimens	pobj	of
I	I	nsubj	called
attention	attention	oprd	called
Acad	Acad	dobj	called
Nat	Nat	appos	Acad
Sci	Sci	appos	Acad
Phil	Phil	appos	Sci
.	.	appos	Phil
1890 p.	p.	appos	Acad
the rosy or pinkishred hue	hue	pobj	to
Yucatan examples	examples	pobj	of
the vermilion sliade	sliade	pobj	with
other localities	localities	pobj	from
this difference	difference	nsubj	seemed
I	I	nsubj	was
a subspecies	subspecies	pobj	as
an examination	examination	nsubj	shows
the material	material	pobj	of
the U. S. National Museum	Museum	pobj	of
me	me	pobj	to
Mr. Robert Ridgway	Ridgway	pobj	through
this idea	idea	nsubjpass	supported
the series	series	pobj	In
twentynine Mexican and Central American specimens	specimens	pobj	of
me	me	pobj	before
four Yucatan specimens	specimens	nsubj	are
vermilion	vermilion	attr	is
a bright pink specimen	specimen	attr	is
Jalapa	Jalapa	pobj	from
Two Honduras birds	birds	nsubj	show
patches	patches	dobj	show
orangeyellow	orangeyellow	pobj	of
the breast	breast	pobj	on
W. S.	S.	nsubj	unable
it	it	dobj	preserve
I	I	nsubj	saw
only three larks	larks	dobj	saw
my stay	stay	pobj	during
They	They	nsubj	frequented
the meadows	meadows	dobj	frequented
the bay	bay	pobj	of
I	I	nsubj	feel
they	they	nsubj	were
several occasions	occasions	pobj	on
their song	song	dobj	heard
the unmistakable quality	quality	dobj	had
magna	magna	pobj	of
this respect	respect	pobj	In
my experience	experience	nsubj	corroborates
Hancock	Hancock	pobj	of
whom	whom	nsubj	mistaken
Beckham	Beckham	nsubj	thinks
The true state	state	nsubj	is
aflftiirs	aflftiirs	pobj	of
winter	winter	pobj	during
the races	races	nsubj	intermingle
neglecta	neglecta	dobj	intermingle
May	May	pobj	of
ie7edffl	ie7edffl	nsubj	decamps
the interior	interior	pobj	into
the true magna	magna	pobj	of
Orchard Oriole	Oriole	appos	Linn
A few pairs	pairs	nsubj	found
Icterus galbula Linn	Linn	oprd	found
Baltimore Oriole	Oriole	oprd	found
None	None	nsubj	seen
A specimen	specimen	nsubj	is
my visit	visit	pobj	before
the collection	collection	pobj	in
Icterus bullocki Swains	Swains	oprd	found
Bullock's Oriole	Oriole	oprd	found
Nest	Nest	oprd	found
Quiscalus quiscula aeneus Ridgw	Ridgw	oprd	found
Bronzed Crackle	Crackle	oprd	found
I	I	nsubj	observed
this species	species	nsubj	feeding
its young	young	dobj	feeding
the San AntonioRiver	AntonioRiver	pobj	along
None	None	ROOT	None
Corpus Christi	Christi	pobj	at
"
Greattailed Graekle"	Graekle	ROOT	Graekle
Corpus Christi	Christi	pobj	at
this Graekle	Graekle	nsubj	attained
a far greater abundance	abundance	dobj	attained
the hackberry mottes	mottes	pobj	in
the road	road	pobj	along
San Patricio	Patricio	pobj	to
Corpus Christi	Christi	pobj	of
"
Ammodramus maritimus sennetti Allen"	Allen	ROOT	Allen
"
Texan Seaside Finch"	Finch	ROOT	Finch
it	it	nsubj	common
the Nueces Bay flats	flats	pobj	on
Chondestes grammacus Say	Say	appos	73
Fresh eggs	eggs	nsubj	procured
May 30th	30th	appos	day
Peucaea cassini Woodh	Woodh	appos	74
Cassin's Finch	Finch	appos	74
open pasture	pasture	pobj	in
Corpus Christi	Christi	pobj	from
Song Sparrow	Sparrow	appos	Gmel
none	none	nsubj	secured
Embernagra rufivirgata Lawr	Lawr	appos	76
Mr. Chapman	Chapman	nsubj	remarks
this species	species	nsubj	seem
the Rio 3rrande	3rrande	pobj	of
his visit	visit	pobj	to
Corpus Christi	Christi	pobj	to
I	I	nsubj	think
it	it	nsubj	probable
it	it	nsubj	was
a member	member	attr	was
the fauna	fauna	pobj	of
this region	region	pobj	of
it	it	nsubj	become
the facts	facts	pobj	by
the physical changes	changes	pobj	regarding
the country	country	dobj	overspread
recent times	times	pobj	in
I	I	nsubj	found
the Texas Sparrow	Sparrow	dobj	found
home	home	pobj	at
the Corpus Christi and San Patricio chaparral	chaparral	pobj	in
their nests	nests	dobj	secured
fully fledged young	young	conj	nests
"77.
Cardinalis"	Cardinalis	ROOT	Cardinalis
cardinalis canicaudus Chapm	Chapm	appos	Cardinalis
Graytailed Cardinal	Cardinal	appos	Cardinalis
I	I	nsubj	secured
a series	series	dobj	secured
fourteen specimens	specimens	pobj	of
this newly described race	race	pobj	of
seven females	females	pobj	including
five males	males	conj	females
"
Texan Cardinal"	Cardinal	ROOT	Cardinal
the vicinity	vicinity	pobj	in
the town	town	pobj	of
winter	winter	pobj	during
early spring	spring	conj	winter
this species	species	nsubj	retires
Fasserina ciris Linn	Linn	appos	79
Painfed Bunting	Bunting	appos	Linn
Summer Tanager	Tanager	appos	Linn
Corpus Christi	Christi	pobj	at
the heavy chaparral	chaparral	pobj	in
it	it	pobj	of
the upper Nueces	Nueces	pobj	along
"81.
Progne subis Liun"	Liun	attr	"
"
Purple Martin Common	Common	appos	Liun
the vicinity	vicinity	pobj	in
towns	towns	pobj	of
Petrochelidon lunifrons	lunifrons	nsubj	Say
Cliff Swallow	Swallow	dobj	Say
flocks	flocks	pobj	in
Bam Swallow	Swallow	appos	Bodd
Clivicola riparia Linn	Linn	nsubj	abundant
Bank Swallow	Swallow	appos	Linn
Stelgidopteryx serripennis Aud	Aud	attr	"
"
Roughwinged Swallow	Swallow	appos	Aud
the preceding species	species	pobj	with
Lanius ludovicianus excubitorides Swains	Swains	appos	Breeding
Whiterumped Shrike	Shrike	appos	Breeding
the feathers	feathers	dobj	have
the head	head	pobj	of
interscapulum	interscapulum	conj	head
the breast	breast	pobj	Beneath
flanks	flanks	conj	breast
dark longitudinal markings	markings	pobj	with
W. S.	S.	ROOT	S.
Two young females	females	nsubj	have
the bills	bills	nsubj	black
the tendency	tendency	nsubj	is
this genus	genus	pobj	in
a female specimen	specimen	attr	is
the Academy's Collection	Collection	pobj	in
Mr. Rhoads birds	birds	pobj	with
Captain McCown	McCown	pobj	by
 Ringgold Barracks	Barracks	pobj	at
Texas	Texas	appos	Barracks
W. S.	S.	dobj	"
"
Vireo olivaceus Linn	Linn	attr	"
"
Redeyed Vireo	Vireo	attr	"
"
the upper Nueces	Nueces	pobj	on
they	they	nsubj	breed
noveboracensis Gmel	Gmel	appos	Vireo
Whiteeyed Vireo	Vireo	oprd	"
"
Corpus Christi	Christi	pobj	around
"89.
Vireo bellii Aiul"	Aiul	oprd	"
"
Bell's Vireo	Vireo	appos	Aiul
San Patricio	Patricio	pobj	of
I	I	nsubj	found
it	it	nsubj	breeding
"
Yellow Warbler"	Warbler	ROOT	Warbler
The only specimen	specimen	nsubjpass	shot
Corpus Christi	Christi	pobj	near
noveboracensis notabilis Grinn	Grinn	appos	Seiurus
One specimen	specimen	nsubjpass	procured
"92.
Geothlypis trichas Linn"	Linn	attr	"
"
Maryland Yellowthroat	Yellowthroat	appos	Linn
A female	female	nsubj	was
Priour	Priour	nsubj	affirms
it	it	nsubj	breeds
the mouth	mouth	pobj	at
Nueces Bay	Bay	pobj	of
Yellowbreasted Chat	Chat	appos	Linn
these birds	birds	pobj	of
a singing male	male	appos	one
Merrill	Merrill	nsubj	found
Sennett	Sennett	conj	Merrill
it	it	nsubj	abundant
Fort Brown	Brown	pobj	at
a fact	fact	dobj	found
Beckham	Beckham	nsubj	ionores
Mr. Priour	Priour	nsubj	thinks
it	it	nsubj	resident
Corpus Christi	Christi	pobj	around
Mimus polyglottos Linn	Linn	oprd	thinks
Mockingbird	Mockingbird	appos	Linn
Abundant breeder	breeder	oprd	thinks
Harporhynchus longirostris sennetti Ridgw	Ridgw	oprd	thinks
Texas Thrasher	Thrasher	oprd	thinks
these birds	birds	pobj	of
the impenetrable chaparral	chaparral	pobj	in
the toAvn	toAvn	pobj	near
I	I	nsubj	was
Thryothorus ludovicianus Lath	Lath	oprd	thinks
Carolina Wren	Wren	oprd	thinks
the upper Nueces	Nueces	pobj	on
they	they	nsubj	are
Baird's AVren	AVren	appos	Godm
Parus atricristatus Cass	Cass	appos	98
Blackcrested Titmouse	Titmouse	appos	Cass
the Nueces	Nueces	pobj	on
large timber	timber	pobj	in
Verdin	Verdin	appos	Sund
One specimen	specimen	nsubjpass	secured
the Verdin	Verdin	pobj	of
their nests	nests	pobj	of
the breeding season	season	nsubj	was
the country	country	dobj	left
This specimen	specimen	nsubj	seems
character	character	pobj	in
the average longicauda	longicauda	pobj	as
size	size	pobj	in
typical virens	virens	pobj	from
"
W. S."	S.	ROOT	S.
"
Polioptila caerulea Linn"	Linn	ROOT	Linn
BluegrajGnatcatcher	BluegrajGnatcatcher	appos	Linn
various reasons	reasons	pobj	for
this connection	connection	pobj	in
Dendrocygna autumnalis Linn	Linn	oprd	mentioned
IJlackbcllied Treeduck	Treeduck	oprd	mentioned
Dendrocygna fulva Jmel	Jmel	attr	"
"
"
Fulvous Treeduck"	Treeduck	ROOT	Treeduck
Dresser's and Merrill's lists	lists	pobj	in
any locality	locality	pobj	from
the Rio Grande	Grande	pobj	of
Mr. Priour	Priour	nsubj	says
the Nueces marshes	marshes	pobj	on
no conclusive evidence	evidence	dobj	produced
Columba fiavirostris AVagl	AVagl	attr	"
"
Redbilled Pigeon	Pigeon	attr	"
"
Another bird	bird	attr	"
"
Priour	Priour	nsubj	assures
me	me	dobj	assures
Corpus Christi	Christi	pobj	as
early spring	spring	pobj	in
passerina pallescens Baird	Baird	appos	Columbigallina
Mr. Priour	Priour	nsubj	says
this dove	dove	nsubj	breeds
the town	town	pobj	in
"
Strix pratincola Bonap"	Bonap	ROOT	Bonap
"
Barn Owl"	Owl	ROOT	Owl
I	I	nsubjpass	shown
several burrows	burrows	dobj	shown
the face	face	pobj	in
a steep bank	bank	pobj	of
Nueces Bay	Bay	pobj	from
this owl	owl	nsubjpass	said
Speotyto cunicularia bypogaea Bonap	Bonap	attr	"
"
The complete disappearance	disappearance	nsubj	is
this common and characteristic bird	bird	pobj	of
the region	region	pobj	from
Corpus Christi	Christi	pobj	of
the usurpation	usurpation	pobj	to
their prairie domain	domain	pobj	of
the now ubiquitous chaparral	chaparral	pobj	by
"
Ceryle cabanisi Tschudi"	Tschudi	ROOT	Tschudi
"
Texan Kingfisher"	Kingfisher	ROOT	Kingfisher
This diminutive species	species	nsubj	common
I	I	nsubj	made
especial search	search	dobj	made
it	it	pobj	for
the Nueces	Nueces	pobj	on
a locality	locality	pobj	in
it	it	nsubj	occurred
success	success	pobj	without
"
'
Ammodramus maritimus peninsulas"	peninsulas	ROOT	peninsulas
Allen	Allen	appos	peninsulas
Scott's Seasidesparrow	Seasidesparrow	ROOT	Seasidesparrow
Mr. Chapman's remarks	remarks	nsubjpass	simplified
this race	race	pobj	on
the deductions	deductions	conj	remarks
the fact	fact	pobj	by
I	I	nsubj	find
the  black  Seaside Finches	Finches	pobj	of
the spot	spot	pobj	at
that vicinity	vicinity	pobj	in
special search	search	nsubjpass	made
I	I	nsubj	am
Mr. Priour	Priour	nsubj	mistaken
his belief	belief	pobj	in
these dark birds	birds	nsubj	remain
the summer	summer	pobj	during
APvIZONA	APvIZONA	ROOT	APvIZONA
my stay	stay	nsubj	covered
southern Arizona	Arizona	pobj	in
the period	period	dobj	covered
June 10th	10th	pobj	between
July 12th	12th	conj	10th
the first eight days	days	nsubjpass	spent
the immediate vicinity	vicinity	pobj	in
Tucson	Tucson	pobj	of
Oracle	Oracle	pobj	at
the liveoak belt	belt	appos	twelve
the southern slopes	slopes	pobj	on
the Santa Catalina Mountains	Mountains	pobj	of
Tucson	Tucson	pobj	of
part	part	conj	belt
the remaining ten days	days	pobj	of
the pineclad region	region	oprd	spent
their summits	summits	pobj	of
the Tucson level	level	pobj	above
the elevation	elevation	pobj	above
Oracle	Oracle	pobj	at
The country	country	nsubj	included
my rambles	rambles	pobj	by
a larger area	area	pobj	of
Pima County	County	appos	area
"Mr AV.
E. D. Scott"	Scott	appos	2art
a long residence	residence	pobj	during
the Santa Catalinas	Catalinas	pobj	in
a more thorough understanding	understanding	pobj	For
the region	region	pobj	of
question	question	pobj	in
an excellent description	description	conj	understanding
the natural characteristics	characteristics	pobj	of
this part	part	pobj	of
Arizona	Arizona	pobj	of
I	I	nsubj	do
Mr. Scott's introductory paper	paper	pobj	to
the Avifauna	Avifauna	pobj	On
Pinal County	County	pobj	of
the third volume	volume	pobj	in
Auk	Auk	pobj	of
the previous list	list	pobj	in
an asterisk	asterisk	pobj	by
the collection	collection	pobj	in
no sjiecimens	sjiecimens	nsubjpass	secured
the upper waters	waters	dobj	exploring
the Santa Clara	Clara	pobj	of
Tucson	Tucson	pobj	from
I	I	nsubj	found
a duck	duck	dobj	found
the river	river	pobj	on
it	it	pobj	at
it	it	dobj	kill
it	it	nsubjpass	secured
another gunner	gunner	pobj	by
who	who	nsubj	shooting
the vicinity	vicinity	pobj	in
I	I	nsubjpass	enabled
it	it	dobj	identify
Mr. Scott's account	account	pobj	From
it	it	nsubj	seems
a rarity	rarity	attr	be
a visitant	visitant	pobj	as
its occurrence	occurrence	nsubj	noteworthy
summer	summer	pobj	in
"
2.
Ardea herodias Linn"	Linn	ROOT	Linn
"
Great Blue Heron"	Heron	ROOT	Heron
Ardea virescens Linn	Linn	ROOT	Linn
"
Green Heron"	Heron	ROOT	Heron
the valley	valley	pobj	in
"
4.
Gallinula galeata Licht"	Licht	ROOT	Licht
Florida Gallinule	Gallinule	appos	Licht
A pair	pair	attr	"
"
Silver Lake	Lake	pobj	on
Tucson	Tucson	pobj	near
Fulica americana Gmel	Gmel	attr	"
"
the Santa Clara River	River	pobj	on
Aegiahtis vocifera Linn	Linn	ROOT	Linn
Kildeer	Kildeer	attr	"
"
Kot	Kot	attr	"
"
the Santa Clara Valley	Valley	pobj	in
Callipepla squamata Vig	Vig	ROOT	Vig
"
Scaled Partridge"	Partridge	ROOT	Partridge
the Scaled Quail	Quail	nsubjpass	associated
Gambel	Gambel	pobj	with
the mesas	mesas	pobj	on
the lower edge	edge	pobj	in
the oakbelts	oakbelts	pobj	of
the hotel	hotel	pobj	near
Oracle	Oracle	pobj	at
they	they	nsubj	attain
such an altitude	altitude	dobj	attain
the breeding season	season	pobj	in
their usual haunts	haunts	pobj	from
search	search	pobj	in
water	water	pobj	of
June	June	pobj	in
Tucson	Tucson	pobj	Around
I	I	nsubj	saw
none	none	dobj	saw
this species	species	pobj	of
I	I	nsubj	reached
the lower mesa slopes	slopes	dobj	reached
no time	time	pobj	At
I	I	nsubj	was
them	them	dobj	finding
the oak belt	belt	pobj	below
numbers	numbers	pobj	In
they	they	nsubj	ranked
C gambeli	gambeli	pobj	below
all the partridges	partridges	pobj	of
squamata	squamata	attr	being
Callipepla gambeli Nutt	Nutt	appos	8
I	I	nsubj	meet
any flocks	flocks	pobj	with
this species	species	pobj	of
the valley	valley	pobj	in
They	They	nsubj	are
the oak belt	belt	pobj	in
the lower pines	pines	pobj	as
the time	time	pobj	at
my visit	visit	pobj	of
their families	families	dobj	leading
size	size	pobj	in
the newly hatched chick	chick	pobj	from
half grown birds	birds	pobj	to
The male bird	bird	nsubj	continues
its harsh cry	cry	dobj	continues
the nest	nest	dobj	left
sufficient reasons	reasons	pobj	for
this paper	paper	pobj	in
I	I	nsubj	am
they	they	nsubj	are
C. squamata	squamata	nsubj	is
"9.
Cyrtonyx montezumae Vig"	Vig	dobj	continues
Massena Partridge	Partridge	appos	Vig
Three  Fool Quails	Quails	nsubjpass	noticed
the higher slopes	slopes	pobj	on
the Catalinas	Catalinas	pobj	of
them	them	pobj	of
an elevation	elevation	pobj	at
7000 feet	feet	pobj	of
The habits	habits	nsubj	are
the Massena Partridges	Partridges	pobj	of
the genus Callipepla	Callipepla	pobj	of
one	one	dobj	reminding
our eastern Bobwhite	Bobwhite	pobj	of
their aptness	aptness	pobj	in
quick concealment	concealment	pobj	for
sudden flight	flight	conj	concealment
gallopavo mexicana iTould	iTould	appos	Meleagris
a disastrous fire	fire	pobj	to
the Mt.	Mt.	pobj	in
Lemon region	region	dobj	"
"
the Catalinas	Catalinas	pobj	of
this bird	bird	nsubj	abandoned
that part	part	dobj	abandoned
the country	country	pobj	of
I	I	nsubj	see
it	it	pobj	of
"
11.
Columba fasciata Say.
Bandtailed Pigeon"	Pigeon	ROOT	Pigeon
the oak and pine belts	belts	pobj	throughout
All nests	nests	nsubj	contained
egg	egg	conj	young
Columbigallina passerina pallescens Baird	Baird	appos	12
the Tucson suburbs	suburbs	pobj	in
Pseudogryphus californianus Shaw	Shaw	appos	13
I	I	nsubjpass	informed
Mr. Jack Alwinkle	Alwinkle	pobj	by
a ranchman	ranchman	appos	Alwinkle
Oracle	Oracle	pobj	at
he	he	nsubj	shot
a  Condor	Condor	dobj	shot
the summit	summit	pobj	near
Mount Lemon	Lemon	pobj	of
It	It	nsubjpass	perched
a huge rock	rock	pobj	on
their camp	camp	pobj	from
the range	range	dobj	test
his rifle	rifle	pobj	of
a careless examination	examination	pobj	after
these facts	facts	pobj	Besides
his assertion	assertion	conj	facts
it	it	nsubj	was
a buzzard	buzzard	pobj	as
my informant	informant	nsubj	added
it	it	nsubj	was
he	he	nsubj	seen
California	California	dobj	leaving
a cowboy	cowboy	pobj	as
he	he	nsubj	spent
This statement	statement	nsubj	entitle
an excellent hunter	hunter	pobj	of
reliable observer	observer	conj	hunter
this species	species	dobj	entitle
a place	place	pobj	to
the avifauna	avifauna	pobj	in
Arizona	Arizona	pobj	of
"
14.
Cathartes aura Linn"	Linn	ROOT	Linn
Turkey Vulture	Vulture	appos	Linn
4000 ft	ft	pobj	to
.	.	pobj	to
Accipiter cooperi Bonap	Bonap	attr	"
"
Cooper's Hawk	Hawk	appos	Bonap
Several couples	couples	nsubj	found
breeding	breeding	nsubj	secured
Buteo borealis calurus Cass	Cass	appos	16
A pair	pair	attr	"
"
8000 ft	ft	pobj	as
.	.	pobj	as
Buteo abbreviatus Caban	Caban	appos	pair
Zonetailed Hawk	Hawk	appos	pair
9000 ft. elevation	elevation	pobj	at
A nest	nest	attr	"
"
two young Avas	Avas	pobj	with
a caiion	caiion	pobj	in
Oracle	Oracle	pobj	near
a juniper	juniper	pobj	in
"
Buteo swainsoni Bonap"	Bonap	ROOT	Bonap
"
Swainson's Hawk"	Hawk	ROOT	Hawk
I	I	nsubj	came
a pair	pair	pobj	upon
these Hawks	Hawks	pobj	of
the bank	bank	pobj	on
a bend	bend	pobj	at
the Santa Clara	Clara	pobj	in
they	they	nsubj	escaped
I	I	nsubj	secure
them	them	dobj	secure
Golden Eagle	Eagle	appos	Linn
A pair	pair	nsubjpass	observed
the crags	crags	pobj	on
the Caiion DeOro	DeOro	dobj	overlook
the trail	trail	pobj	above
Mt.	Mt.	pobj	to
Lemon	Lemon	pobj	"
"
20Falco Sparverius Linn	Linn	oprd	observed
Sparrow Hawk	Hawk	oprd	observed
"
21.
Polyborus cheriway Jacq"	Jacq	ROOT	Jacq
Audubon's Caracara	Caracara	attr	"
"
Tucson	Tucson	pobj	near
the species Avas	Avas	nsubj	noted
Oracle	Oracle	pobj	near
occidentale Xantus	Xantus	appos	Syrnium
Spotted Owl	Owl	appos	Syrnium
the opposite side	side	pobj	On
the Santa Clara valley	valley	pobj	of
a point	point	pobj	at
a rocky hill	hill	dobj	rises
whose precipitous sides	sides	nsubj	front
the city	city	dobj	front
Tuscon	Tuscon	pobj	of
I	I	nsubj	found
these owls	owls	pobj	of
One pair	pair	nsubjpass	noticed
some large boulders	boulders	pobj	on
they	they	nsubj	were
the full glare	glare	pobj	in
the sun	sun	pobj	of
they	they	nsubj	appear
the appearance	appearance	pobj	From
the surroundings	surroundings	pobj	of
it	it	nsubj	seemed
these boulders	boulders	nsubj	were
their regular stands	stands	attr	were
a nest	nest	nsubjpass	found
a brood	brood	nsubjpass	raised
the recesses	recesses	pobj	in
a narrow ledge	ledge	pobj	of
they	they	nsubj	sitting
Megascops	Megascops	oprd	seemed
asio trichopsis Wagl	Wagl	appos	Megascops
Mexican Screech Owl	Owl	appos	Megascops
A young bird	bird	nsubjpass	found
this variety	variety	pobj	of
about twothirds	twothirds	appos	bird
the chaparral	chaparral	pobj	in
Tucson	Tucson	pobj	near
"24.
Bubo virginianus subarcticus Hoy"	Hoy	oprd	seemed
Western Horned Owl	Owl	oprd	seemed
They	They	nsubj	are
the lowlands	lowlands	pobj	in
"25.
Micropallas whitneyi Cooper"	Cooper	oprd	seemed
Elf Owl	Owl	oprd	seemed
none	none	nsubjpass	met
Geococcyx californianus	californianus	oprd	met
Road Runner	Runner	oprd	met
the oakbelt	oakbelt	pobj	near
the vicinity	vicinity	pobj	in
Tucson	Tucson	pobj	of
I	I	nsubj	observed
them	them	dobj	observed
a considerable distance	distance	pobj	at
Oracle	Oracle	pobj	above
"
27.
Ceryle alcyon Linn"	Linn	ROOT	Linn
Kingfisher	Kingfisher	appos	Linn
Tucson	Tucson	pobj	around
Dryobates villosus hyloscopus Cab	Cab	appos	28
8000 feet elevation	elevation	pobj	at
the pines	pines	pobj	among
Dryobates scalaris bairdi Scl	Scl	attr	"
"
the oakbelt	oakbelt	pobj	in
you	you	nsubj	descend
the plain	plain	pobj	toward
"
Califomian Woodpecker"	Woodpecker	ROOT	Woodpecker
the oakbelt	oakbelt	pobj	from
9000 feet elevation	elevation	pobj	to
Melanerpes uropygialis Baird	Baird	appos	31
the giant cacti	cacti	pobj	with
Colaptes cafer Gmel	Gmel	appos	32
the pine woods	woods	pobj	in
"33.
Colaptes chrysoides Malh"	Malh	oprd	"
"
"
Gilded Flicker"	Flicker	ROOT	Flicker
the valley	valley	pobj	in
none	none	conj	numerous
Phalsenoptilus nuttalli Aud	Aud	attr	"
"
Poorwill	Poorwill	appos	Aud
the oak belt	belt	pobj	in
Cbordeiles	Cbordeiles	ROOT	Cbordeiles
texensis	texensis	ROOT	texensis
Lawr	Lawr	ROOT	Lawr
"
Texan Nighthawk"	Nighthawk	ROOT	Nighthawk
I	I	nsubj	found
these birds	birds	nsubj	abundant
the immediate vicinity	vicinity	pobj	in
Tucson	Tucson	pobj	of
They	They	nsubj	frequented
the niesquite	niesquite	dobj	frequented
preference	preference	pobj	in
more open tracts	tracts	pobj	to
their time	time	pobj	of
the midday hours	hours	pobj	during
the chaparral bushes	bushes	pobj	among
food	food	pobj	for
the shade	shade	pobj	in
a bush	bush	pobj	of
cactus	cactus	conj	bush
The song	song	nsubj	has
this bird	bird	pobj	of
a wouderful resemblance	resemblance	dobj	has
Megascope	Megascope	pobj	of
It	It	nsubjpass	uttered
both sexes	sexes	pobj	by
they	they	nsubj	be
the ground	ground	pobj	on
the wing	wing	pobj	on
the quality	quality	nsubj	is
these notes	notes	pobj	of
I	I	nsubj	stumbled
the birds	birds	pobj	of
notice	notice	dobj	taking
them	them	pobj	of
the search	search	pobj	in
a supposed owl	owl	pobj	for
I	I	nsubj	imagined
a distant tree	tree	pobj	in
no occasion	occasion	pobj	On
they	they	nsubj	make
any other sound	sound	dobj	make
their intimate relationship	relationship	dobj	show
our C. virginianus	virginianus	pobj	to
Micropus melanoleucus Bairtl	Bairtl	appos	36
A pair	pair	nsubj	breeding
these birds	birds	pobj	of
the cliffs	cliffs	pobj	in
I	I	nsubj	found
I	I	nsubj	make
the nature	nature	pobj	because
the ground	ground	pobj	of
thorough enough search	search	dobj	make
the whereabouts	whereabouts	dobj	discover
their nest	nest	pobj	of
I	I	nsubj	saw
frequent companies	companies	nsubj	skimming
these birds	birds	pobj	of
various places	places	pobj	in
the Santa Clara Valley	Valley	pobj	along
the waters	waters	dobj	skimming
Silver Lake	Lake	pobj	of
air	air	pobj	in
one	one	dobj	reminding
both situations	situations	pobj	in
the Chimney Swift	Swift	pobj	of
Mount Lemon	Lemon	pobj	of
this species	species	pobj	of
the summit	summit	pobj	about
company	company	pobj	in
Violetgreen Swallows	Swallows	pobj	with
Eugenes fulgens Swains	Swains	attr	"
"
Rivoli Hummingbird	Hummingbird	oprd	seen
my arrival	arrival	pobj	after
the Catalina pinebelt	pinebelt	pobj	in
I	I	nsubj	noted
a large hummer	hummer	dobj	noted
the yellow columbines	columbines	pobj	among
a little canon	canon	pobj	of
the camp	camp	pobj	near
I	I	nsubj	see
it	it	dobj	see
